enro_animal_id,redcap_data_access_group,enro_model,enro_sex,rand_conduct,rand_conduct_rsn,rand_conduct_rsn_oth,rand_clot_length,txas_reperfusion,srg_conduct,srg_conduct_rsn,srg_conduct_rsn_oth,srg_comments___1,srg_comments___2,srg_comments___3,srg_comments___4,srg_comments___5,srg_comments___6,srg_comments___7,srg_comments___8,srg_comments___9,srg_exact_occ,srg_animal_age,srg_length_surgery,srg_awake_min,srg_concom_meds_lrs_nacl,srg_concom_meds_sq,eos_day_diff_srg_death,enro_weight,srg_weight,eos_weight,postop_d1_weight,postop_d2_weight,postop_d3_weight,postop_d4_weight,postop_d5_weight,postop_d6_weight,postop_d7_weight,postop_d8_weight,srg_nds_score,postop_d1_nds_score,postop_d2_nds_score,eos_nds_score,bank_tissue_type___1,bank_tissue_type___2,bank_tissue_type___3,bank_tissue_type___4,bank_tissue_type___6,bank_tissue_type___5,srg_clot_length,srg_embolic_draw_sex,srg_donor_eartag,behav_d30_conduct,rand_reperfusion_dose,srg_reperfsn_dose,srg_embolic_draw_dt,srg_actual_surg_dt,srg_reperfsn_vial,txas_reperfusion_actual,rand_reperfusion_vial,txas_pop_assg_comment
RV6522,dk,5,1,0,3,Donor,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,242.6,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,Donor
RV6523,dk,5,0,0,3,Donor,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,260.0,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,Donor
RV6542,ag,5,1,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,120,3.15,160,114,1,1,29,358,420,409,383,366,350,,,,331,327,2,2,2,2,1,0,0,0,0,0,4,1,WX5852,1,0.37,0.37,2025-06-18,2025-07-01,"TNK H",1,"TNK H",
RV6543,ag,5,1,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,120,2.89,145,113,1,1,2,368,410,401,389,401,,,,,,,2,2,2,,0,0,0,0,0,0,4,1,WX5852,0,0.368,0.368,2025-06-18,2025-06-23,"TNK F",1,"TNK F",
RV6544,ag,5,0,0,3,"Will be used as blood donor",,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,220,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,"Will be used as blood donor"
RV9457,yl,5,1,1,,,3,1,1,,,0,0,0,0,0,0,0,0,0,120,2.96,177,99,1,1,41,415,448,555,422,418,,,,,,,1,1,1,0,1,0,0,0,0,0,3,0,LJ5664,1,0.42,0.42,2025-07-28,2025-08-13,"TNK D",1,"TNK D",
RV9468,yl,5,1,1,,,3,1,1,,,0,0,0,0,0,0,1,0,0,78,2.96,117,,1,1,0,493,521,521,,,,,,,,,,,,,0,0,0,0,0,0,3,0,LJ5664,0,0.5,,2025-07-28,2025-08-20,,1,"TNK C or D","received the clot"
RV9534,mg,5,1,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,121,2.46,157,106,1,1,30,270,357,403,344,345,348,,350,,353,,2,2,1,0,1,0,0,0,0,0,4,1,BM4046,1,0.31,0.31,2025-06-23,2025-07-02,"TNK C",1,"TNK C",
RV9535,mg,5,0,1,,,3,1,1,,,0,0,0,0,0,0,0,0,0,120,2.43,144,108,1,1,31,183,198,224,191,195,196,,,202,,207,2,1,1,0,1,0,0,0,0,0,3,0,RF6270,1,0.18,0.18,2025-08-07,2025-08-12,"TNK D",1,"TNK D",
RV9545,mg,5,1,1,,,3,2,1,,,0,0,0,0,0,0,0,0,0,120,2.46,147,107,1,1,30,285,318,348,280,261,256,,243,,241,,2,2,2,1,1,0,0,0,0,0,3,1,LW7383,1,0.29,0.29,2025-08-07,2025-08-13,"TNK G",2,"TNK G",
RV9573,yl,5,0,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,122,2.56,161,99,1,1,41,241,252,299,241,237,,,,,,,2,2,1,1,1,0,0,0,0,0,4,1,RV9579,1,0.24,0.24,2025-07-07,2025-07-16,"TNK G",2,"TNK G",
RV9579,yl,5,1,0,3,"Blood donor",,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,367,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,"Blood donor"
RV9580,yl,5,1,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,122,2.86,179,107,1,1,38,367,408,554,376,405,407,,,,,,1,1,0,0,1,0,0,0,0,0,4,1,RV9579,1,0.37,0.37,2025-07-07,2025-07-08,"TNK G",2,"TNK G",
RV9585,yl,5,1,1,,,4,2,1,,,0,0,0,0,0,0,0,0,1,120,2.56,186,99,1,1,0,334,372,,,,,,,,,,1,,,,0,0,0,0,0,0,3.6,1,RV9574,0,0.33,0.3,2025-07-07,2025-07-23,"TNK D",1,"TNK G","Received wrong reperfusion vial. TNKase was administered instead of saline as assigned."
RV9586,yl,5,1,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,120,2.53,167,106,1,1,2,348,394,,384,,,,,,,,0,2,,,0,0,0,0,0,0,4,1,RV9579,0,0.35,0.35,2025-07-07,2025-07-15,"TNK D",1,"TNK D",
RV9587,yl,5,0,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,120,2.3,156,105,1,1,45,212,228,249,223,219,227,232,,,,,2,2,1,0,1,0,0,0,0,0,4,0,GF5977,1,0.212,0.212,2025-06-17,2025-06-24,"TNK G",2,"TNK G",
RV9590,dk,5,1,1,,,3,2,1,,,0,0,0,0,0,0,0,0,0,120,2.37,32,,1,1,30,329.8,366,440,327.5,320.8,318.6,,337.6,,350.9,,2,1,1,2,1,0,0,0,1,0,3,1,MN4915,1,0.33,0.33,2025-07-28,2025-07-30,"TNK G",2,"TNK G",
RV9591,dk,5,0,1,,,3,1,1,,,0,0,0,0,0,0,0,0,0,120,3.19,39,,1,1,30,285.6,292,314,272.1,253.9,258,,271.7,,280.1,,2,2,2,2,1,0,0,0,1,0,3,0,MN4914,1,0.29,0.29,2025-07-28,2025-07-30,"TNK H",1,"TNK H",
RV9598,dk,5,0,1,,,3,2,1,,,0,0,0,0,0,0,0,0,0,120,3.19,37,,1,1,1,268.7,297,276,,,,,,,,,2,,,,0,0,0,0,0,0,3,0,MN4914,0,0.27,0.27,2025-08-04,2025-08-06,"TNK G",2,"TNK G",
RV9599,dk,5,1,1,,,3,1,1,,,0,0,0,0,0,0,0,0,0,120,2.33,29,,1,1,31,336.4,393,542,410.2,404.1,408.1,,417.8,,429.1,,2,2,2,1,1,0,0,0,1,0,3,1,MN4915,1,0.34,0.34,2025-08-04,2025-08-05,"TNK D",1,"TNK D",
RV9600,dk,5,1,1,,,3,1,1,,,0,0,0,0,0,0,0,0,0,120,2.37,35,110,1,1,30,321.4,367,453,351.8,358,353.8,,364.2,,375.7,,2,2,2,1,1,0,0,0,1,0,3,1,MN4915,1,0.32,0.32,2025-08-18,2025-08-20,"TNK D",1,"TNK D",
RV9601,dk,5,0,1,,,3,2,1,,,0,0,0,0,0,0,0,0,0,120,3.19,49,,1,1,30,272.2,279,301,275.3,275.3,282.4,,275.8,,278.5,,2,1,1,1,1,0,0,0,1,0,3,0,MN4914,1,0.27,0.27,2025-08-18,2025-08-20,"TNK G",2,"TNK G",
RV9610,ag,5,0,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,119,3.15,143,112,1,1,2,213,235,205,205,205,,,,,,,2,3,3,,0,0,0,0,0,0,4,0,RV6544,0,0.22,0.22,2025-06-18,2025-06-30,"TNK C",1,"TNK C",
RV9612,ag,5,1,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,119,3.35,146,112,1,1,2,470,480,,465,,,,,,,,2,2,,,0,0,0,0,0,0,4,0,WX5852,0,0.47,0.47,2025-06-18,2025-07-07,"TNK G",2,"TNK G",
RV9613,ag,5,0,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,119,3.42,142,112,1,1,3,204,205,,187,175,,,,,,,2,2,2,,0,0,0,0,0,0,4,0,RV6544,0,0.2,0.2,2025-06-18,2025-07-08,"TNK G",2,"TNK G",
RV9614,ag,5,0,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,121,2.92,154,112,1,1,31,308,320,376,315,310,318,,,320,326,,2,2,1,0,1,0,0,0,0,0,4,0,RV6544,1,0.31,0.31,2025-06-18,2025-07-15,"TNK G",2,"TNK G",
RV9615,ag,5,0,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,120,3.12,155,113,1,1,32,273,275,251,230,225,228,,,232,243,,2,2,2,2,1,0,0,0,0,0,4,0,RV6544,1,0.28,0.28,2025-07-17,2025-07-21,"TNK F",1,"TNK F",
RV9616,ag,5,1,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,120,3.15,145,111,1,1,1,455,503,480,,,,,,,,,2,,,,0,0,0,0,0,0,4,1,WX5852,0,0.47,0.47,2025-07-17,2025-07-22,"TNK G",2,"TNK G",
RV9617,ag,5,0,1,,,3,2,1,,,0,0,0,0,0,0,0,0,0,120,3.35,141,113,1,1,31,280,302,333,296,291,295,300,,,301,,2,2,2,0,1,0,0,0,0,0,3,0,RV6544,1,0.29,0.29,2025-07-17,2025-07-28,"TNK G",2,"TNK G",
RV9618,ag,5,0,1,,,3,1,1,,,0,0,0,0,0,0,0,0,0,121,2.89,147,114,1,1,30,242,256,293,210,216,212,215,,,220,,2,2,2,2,1,0,0,0,0,0,3,0,RV6544,1,0.24,0.24,2025-07-17,2025-08-04,"TNK F",1,"TNK F",
RV9619,ag,5,1,1,,,3,2,1,,,0,0,0,0,0,0,0,0,0,120,3.09,144,112,1,1,30,370,415,420,407,402,,,400,395,391,,2,2,2,0,1,0,0,0,0,0,3,1,WX5852,1,0.38,0.38,2025-07-17,2025-08-13,"TNK G",2,"TNK G",
RV9621,ag,5,0,1,,,3,1,1,,,0,0,0,0,0,0,0,0,0,120,3.09,149,113,1,1,2,251,259,,245,,,,,,,,2,3,,,0,0,0,0,0,0,3,0,RV6544,0,0.26,0.26,2025-07-17,2025-08-13,"TNK D",1,"TNK D",
VV5204,yl,5,1,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,123,2.33,159,99,1,1,44,236,286,444,285,289,289,,,,,,2,0,1,2,1,0,0,0,0,0,4,0,GF5977,1,0.236,0.236,2025-06-17,2025-06-25,"TNK H",1,"TNK H",
VV5205,yl,5,0,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,122,2.99,176,105,1,1,35,303,322,368,316,307,318,,,,,,1,0,0,0,1,0,0,0,0,0,4,0,LJ5664,1,0.3,0.3,2025-07-28,2025-07-29,"TNK D",1,"TNK D",
VV5206,yl,5,1,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,126,2.53,178,121,1,1,2,416,455,,441,,,,,,,,2,1,,,0,0,0,0,0,0,4,1,RV9579,0,0.42,0.42,2025-07-07,2025-07-22,"TNK G",2,"TNK G",
