enro_animal_id,redcap_data_access_group,enro_model,enro_species,mri_d2_conduct,p_mri_d2_ind,p_mri_d2_rsn___1,p_mri_d2_rsn___2,p_mri_d2_rsn___3,p_mri_d2_rsn___4,p_mri_d2_rsn___5,p_mri_d2_rsn___6,p_mri_d2_rsn___7,p_mri_d2_rsn___8,p_mri_d2_rsn___9,p_mri_d2_rsn_oth,p_mri_d2_adc_qa_snr,p_mri_d2_t2_qa_snr,p_mri_d2_mid_shift_indx,p_mri_d2_mid_shift_left,p_mri_d2_mid_shift_right,p_mri_d2_hem_left_tis,p_mri_d2_hem_right_tis,p_mri_d2_hem_left_csf,p_mri_d2_hem_right_csf,p_mri_d2_hem_right_les,p_mri_d2_hem_left_tot,p_mri_d2_hem_right_tot,p_mri_d2_vol_tis,p_mri_d2_vol_csf,p_mri_d2_vol_les,p_mri_d2_vol_tot,p_mri_d2_fract_csf,p_mri_d2_fract_csf_left,p_mri_d2_fract_csf_right,p_mri_d2_fract_tis,p_mri_d2_fract_tis_left,p_mri_d2_fract_tis_right,p_mri_d2_fract_les,p_mri_d2_fract_les_left,p_mri_d2_fract_les_right,p_mri_d2_comments,mri_d2_conduct_rsn,mri_d2_conduct_rsn_oth,mri_d2_upload_ida,mri_d2_upload_ida_rsn,mri_d2_anes_start_t,txas_reperfusion,txas_reperfusion_actual,enro_sex,rand_clot_length,srg_clot_length,p_mri_d2_hem_left_les
CD0729,ag,5,1,1,1,0,0,0,0,0,0,0,0,0,,2.847886166,4.681443629,0.0163222,7.12905,7.24637,703.640625,655.9609375,11.43554688,11.078125,46.98828125,715.5703125,714.0273438,1359.601563,22.51367188,47.52539063,1429.641,0.01574778,0.015981025,0.015514987,0.9510094,0.98332842,0.918677615,0.03324288,0.000690555,0.065807398,,,,1,,09:00,2,2,1,3,3,0.494140625
GF5961,yl,5,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"ventral hyperintensity dominates signal for brain extraction leading to incorrect brain segmentation; there seems to be some bounding around the brain in ADC images?",,,1,,11:30,2,2,1,4,4,
GF5962,yl,5,1,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,4,4,
GF5963,yl,5,1,1,0,0,0,0,0,1,0,0,0,1,"bad brain segmentation performance",,,,,,,,,,,,,,,,,,,,,,,,,,"brain extraction failure; large ventral region is hypointense compared to brain",,,1,,11:30,1,1,1,4,4,0.00390625
GF5964,yl,5,1,1,1,0,0,0,0,0,0,0,0,0,,8.805941444,11.43100352,0.0646317,6.95534,7.41989,681.5019531,691.4609375,34.29101563,37.16015625,2.1796875,715.7929688,730.8007813,1372.962891,71.45117188,2.1796875,1446.594,0.04939269,0.047906332,0.050848545,0.9491004,0.952093668,0.946168854,0.001506772,0,0.002982601,,,,1,,09:30,1,2,0,4,4,0
GF5974,yl,5,1,1,1,0,0,0,0,0,0,0,0,0,,8.468328887,11.49488279,0.0838694,6.88614,7.48896,682.0898438,697.3359375,33.5234375,33.9140625,6.17578125,715.6132813,737.4257813,1379.425781,67.4375,6.17578125,1453.04,0.04641132,0.046845745,0.045989798,0.9493379,0.953154255,0.945635419,0.004250248,0,0.008374783,,,,1,,09:40,2,2,0,4,4,0
GF5975,yl,5,1,1,1,0,0,0,0,0,0,0,0,0,,8.617548301,11.47480305,0.0853267,6.88087,7.49415,677.2792969,597.1835938,33.52148438,32.171875,105.734375,710.8007813,735.0898438,1274.462891,65.69335938,105.7421875,1445.898,0.0454343,0.047160168,0.043765909,0.8814335,0.952839832,0.812395381,0.07313254,0,0.14383871,,,,1,,09:50,1,1,0,4,4,0
GF5976,yl,5,1,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,2,0,4,4,
GF6014,yl,5,1,1,1,0,0,0,0,0,0,0,0,0,,7.618203283,9.440739208,0.0612544,6.78581,7.2146,684.6992188,626.7324219,28.61328125,34.60546875,73.8125,713.3125,735.1503906,1311.431641,63.21875,73.82617188,1448.477,0.04364498,0.040113248,0.047072639,0.9053868,0.959886752,0.852522735,0.05096813,0,0.100404626,,,,1,,11:00,1,1,1,3,3,0
GF6015,yl,5,1,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,0,3,3,
